method,pose,tx,ty,tz,exact,grid,diff
tobi,5,4.69,1.493,4.73,-0.0,-0.0,0.0
tobi,6,-0.246,1.486,3.166,-0.0,-0.0,0.0
tobi,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0
tobi,8,2.228,1.098,-1.144,-0.0,-0.0,0.0
tobi,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0
tobi,10,-0.262,0.804,2.018,-0.0,-0.0,0.0
tobi,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0
tobi,12,4.066,3.593,4.868,-0.0,-0.0,0.0
tobi,13,0.65,6.785,9.923,-0.0,-0.0,0.0
tobi,14,-3.1,3.333,9.533,-0.0,-0.0,0.0
tobi,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0
tobi,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0
tobi,17,-0.218,9.922,6.546,-0.0,-0.0,0.0
tobi,18,-0.955,0.542,5.352,-0.0,-0.0,0.0
tobi,19,-11.187,6.316,10.29,-0.0,-0.0,0.0
tobi,20,-0.554,1.853,7.064,-0.0,-0.0,0.0
tobi,21,1.369,-5.247,3.232,-0.0,-0.0,0.0
tobi,22,0.07,-5.888,11.303,-0.0,-0.0,0.0
tobi,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
tobi,24,4.404,6.321,12.233,-0.0,-0.0,0.0
tobi,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0
tobi,26,9.549,-16.666,0.679,-0.0,-0.0,0.0
tobi,27,5.917,21.6,-2.128,-0.0,-0.0,0.0
tobi,28,-2.328,1.908,-0.602,-0.0,-0.0,0.0
tobi,29,1.98,-2.287,-3.209,-0.0,-0.0,0.0
tobi,30,-1.564,1.008,-6.45,-0.0,-0.0,0.0
ddna,0,0.0,0.0,0.0,6.324043,6.324043,0.0
ddna,1,2.494,-2.851,-2.208,5.994904,5.994904,0.0
ddna,2,-18.145,-1.982,-12.084,5.4738,5.4738,0.0
ddna,3,4.739,-4.75,-13.317,5.667179,5.667179,0.0
ddna,4,-1.08,-0.59,23.956,6.029165,6.029165,0.0
ddna,5,4.69,1.493,4.73,6.005472,6.005472,0.0
ddna,6,-0.246,1.486,3.166,6.046573,6.046573,0.0
ddna,7,3.704,-1.518,-0.543,5.962938,5.962938,0.0
ddna,8,2.228,1.098,-1.144,5.772948,5.772948,0.0
ddna,9,-16.055,-0.431,10.143,5.504415,5.504415,0.0
ddna,10,-0.262,0.804,2.018,5.266757,5.266757,0.0
ddna,11,1.641,-3.143,-3.191,6.192883,6.192883,0.0
ddna,12,4.066,3.593,4.868,6.02927,6.02927,0.0
ddna,13,0.65,6.785,9.923,5.816607,5.816607,0.0
ddna,14,-3.1,3.333,9.533,5.088668,5.088668,0.0
ddna,15,-2.423,-5.175,0.131,5.819329,5.819329,0.0
ddna,16,-4.491,-8.856,11.659,5.740815,5.740815,0.0
ddna,17,-0.218,9.922,6.546,5.782358,5.782358,0.0
ddna,18,-0.955,0.542,5.352,5.965025,5.965025,0.0
ddna,19,-11.187,6.316,10.29,5.605526,5.605526,0.0
ddna,20,-0.554,1.853,7.064,6.46575,6.46575,0.0
ddna,21,1.369,-5.247,3.232,4.702695,4.702695,0.0
ddna,22,0.07,-5.888,11.303,6.293452,6.293452,0.0
ddna,23,-8.225,5.265,-11.431,5.4738,5.4738,0.0
ddna,24,4.404,6.321,12.233,5.773387,5.773387,0.0
ddna,25,2.91,-14.49,-3.315,5.686785,5.686785,0.0
ddna,26,9.549,-16.666,0.679,5.398747,5.398747,0.0
ddna,27,5.917,21.6,-2.128,5.721726,5.721726,0.0
ddna,28,-2.328,1.908,-0.602,5.990982,5.990982,0.0
ddna,29,1.98,-2.287,-3.209,6.059727,6.059727,0.0
ddna,30,-1.564,1.008,-6.45,5.801692,5.801692,0.0
